Bus Name;Area Number;Zone Number;Volt (PU);Volt (KV);Angle (Deg);Gen MW;Gen MVAR;Load MW;Load MVAR;Shunt MW;Shunt MVAR;To Bus Name;MW;MVAR;Transformer Ratio;Transformer Angle (Deg);Percent;Rating
101     NUC-A       21.600;1;77;1.0200;22.0320;13.2688;750.0000;87.5561;0.0000;0.0000;0.0000;-0.0000;;0.0000;0.0000;;0.0000;0;
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;151     NUCPANT     500.00    1  1;749.9995;87.5561;1.000UN;0.0000;60;1250
102     NUC-B       21.600;1;77;1.0200;22.0320;13.2688;750.0000;87.5561;0.0000;0.0000;0.0000;-0.0000;;0.0000;0.0000;;0.0000;0;
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;151     NUCPANT     500.00    1  1;749.9995;87.5561;1.000UN;0.0000;60;1250
151     NUCPANT     500.00;1;1;1.0111;505.5259;7.6072;0.0000;0.0000;0.0000;0.0000;0.0000;613.3355;;0.0000;0.0000;;0.0000;0;
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;101     NUC-A       21.600    1  1;-748.3554;-13.0247;1.000LK;0.0000;60;1250
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;102     NUC-B       21.600    1  1;-748.3554;-13.0247;1.000LK;0.0000;60;1250
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;152     MID500      500.00    1  1;460.5004;-158.6465;;0.0000;40;1200
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;152     MID500      500.00    1  2;460.5004;-158.6465;;0.0000;40;1200
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;201     HYDRO       500.00    2  1;575.7060;-269.9933;;0.0000;52;1200
152     MID500      500.00;1;1;1.0118;505.9096;-4.3132;0.0000;0.0000;0.0000;0.0000;0.0000;-0.0000;;0.0000;0.0000;;0.0000;0;
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;151     NUCPANT     500.00    1  1;-455.0963;-103.7928;;0.0000;38;1200
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;151     NUCPANT     500.00    1  2;-455.0963;-103.7928;;0.0000;38;1200
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;153     MID230      230.00    1  1;747.0055;312.9635;1.009LK;0.0000;32;2500
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;202     EAST500     500.00    2  1;70.0750;27.6475;;0.0000;6;1200
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3004     WEST        500.00    5  1;93.1065;-133.0255;;0.0000;0;
153     MID230      230.00;1;1;0.9875;227.1295;-6.4755;0.0000;0.0000;208.0800;100.0000;0.0000;-0.0000;;0.0000;0.0000;;0.0000;0;
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;152     MID500      500.00    1  1;-747.0055;-280.3232;1.000UN;0.0000;32;2500
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;154     DOWNTN      230.00    1  1;268.1263;106.5849;;0.0000;97;300
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;154     DOWNTN      230.00    1  2;223.4386;85.5701;;0.0000;81;300
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3006     UPTOWN      230.00    5  1;47.3608;-11.8310;;0.0000;0;
154     DOWNTN      230.00;1;1;0.9305;214.0102;-13.6704;0.0000;0.0000;1040.4000;800.0000;0.0000;-259.7374;;0.0000;0.0000;;0.0000;0;
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;153     MID230      230.00    1  1;-263.8033;-76.8828;;0.0000;98;300
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;153     MID230      230.00    1  2;-219.8361;-66.9550;;0.0000;82;300
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;203     EAST230     230.00    2  1;-125.3610;-55.7925;;0.0000;74;200
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;205     SUB230      230.00    2  1;-327.6221;-257.1555;;0.0000;75;600
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3008     CATDOG      230.00    5  1;-103.7608;-83.4701;;0.0000;36;400
201     HYDRO       500.00;2;2;1.0400;520.0001;2.7823;0.0000;0.0000;0.0000;0.0000;0.0000;-324.4800;;0.0000;0.0000;;0.0000;0;
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;151     NUCPANT     500.00    1  1;-572.0378;198.7872;;0.0000;49;1200
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;202     EAST500     500.00    2  1;553.2219;33.7060;;0.0000;44;1200
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;205     SUB230      230.00    2  &1;616.5021;89.6698;;0.0000;50;1200
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;211     HYDRO_G     20.000    2  1;-597.7049;2.3668;1.000LK;0.0000;75;800
202     EAST500     500.00;2;2;1.0037;501.8732;-4.6741;0.0000;0.0000;0.0000;0.0000;0.0000;-0.0000;;0.0000;0.0000;;0.0000;0;
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;152     MID500      500.00    1  1;-69.9912;-123.0855;;0.0000;12;1200
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;201     HYDRO       500.00    2  1;-547.1906;-167.2236;;0.0000;48;1200
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;203     EAST230     230.00    2  1;617.1754;290.3090;1.000LK;0.0000;85;800
203     EAST230     230.00;2;2;0.9594;220.6584;-10.5826;0.0000;0.0000;312.1200;150.0000;0.0000;-46.0209;;0.0000;0.0000;;0.0000;0;
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;154     DOWNTN      230.00    1  1;126.2095;55.3456;;0.0000;72;200
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;202     EAST500     500.00    2  1;-615.3286;-215.2797;1.000UN;0.0000;81;800
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;205     SUB230      230.00    2  1;88.5008;27.9781;;0.0000;48;200
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;205     SUB230      230.00    2  2;88.5008;27.9781;;0.0000;48;200
205     SUB230      230.00;2;2;0.9408;216.3764;-13.0110;0.0000;0.0000;1248.4800;700.0000;0.0000;-265.5128;;0.0000;0.0000;;0.0000;0;
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;154     DOWNTN      230.00    1  1;328.2756;255.8720;;0.0000;74;600
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;201     HYDRO       500.00    2  &1;-603.2307;-157.7676;1.000UN;0.0000;78;800
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;203     EAST230     230.00    2  1;-88.0209;-30.8806;;0.0000;50;200
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;203     EAST230     230.00    2  2;-88.0209;-30.8806;;0.0000;50;200
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;206     URBGEN      18.000    2  1;-797.4648;-470.8246;1.000LK;0.0000;103;900
206     URBGEN      18.000;2;2;1.0158;18.2852;-6.6985;800.0000;600.0000;0.0000;0.0000;0.0000;-0.0000;;0.0000;0.0000;;0.0000;0;
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;205     SUB230      230.00    2  1;799.9843;599.9953;1.000UN;0.0000;111;900
211     HYDRO_G     20.000;2;2;1.0507;21.0133;9.4582;600.0000;67.8726;0.0000;0.0000;0.0000;-0.0000;;0.0000;0.0000;;0.0000;0;
