Bus Name;Area Number;Zone Number;Volt (PU);Volt (KV);Angle (Deg);Gen MW;Gen MVAR;Load MW;Load MVAR;Shunt MW;Shunt MVAR;To Bus Name;MW;MVAR;Transformer Ratio;Transformer Angle (Deg);Percent;Rating
101     NUC-A       21.600;1;77;1.0200;22.0320;7.8823;750.0001;101.8060;0.0000;0.0000;0.0000;-0.0000;;0.0000;0.0000;;0.0000;0;
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;151     NUCPANT     500.00    1  1;749.9996;101.8060;1.000UN;0.0000;61;1250
102     NUC-B       21.600;1;77;1.0200;22.0320;7.8823;750.0001;101.8060;0.0000;0.0000;0.0000;-0.0000;;0.0000;0.0000;;0.0000;0;
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;151     NUCPANT     500.00    1  1;749.9996;101.8060;1.000UN;0.0000;61;1250
151     NUCPANT     500.00;1;1;1.0092;504.5785;2.2125;0.0000;0.0000;0.0000;0.0000;0.0000;611.0388;;0.0000;0.0000;;0.0000;0;
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;101     NUC-A       21.600    1  1;-748.3477;-26.9219;1.000LK;0.0000;60;1250
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;102     NUC-B       21.600    1  1;-748.3477;-26.9219;1.000LK;0.0000;60;1250
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;152     MID500      500.00    1  1;451.1325;-137.7630;;0.0000;39;1200
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;152     MID500      500.00    1  2;451.1325;-137.7630;;0.0000;39;1200
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;201     HYDRO       500.00    2  1;594.4258;-281.6693;;0.0000;54;1200
152     MID500      500.00;1;1;1.0002;500.1205;-9.5905;0.0000;0.0000;0.0000;0.0000;0.0000;-0.0000;;0.0000;0.0000;;0.0000;0;
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;151     NUCPANT     500.00    1  1;-445.8948;-122.8736;;0.0000;39;1200
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;151     NUCPANT     500.00    1  2;-445.8948;-122.8736;;0.0000;39;1200
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;153     MID230      230.00    1  1;757.0019;345.1367;1.009LK;0.0000;33;2500
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;202     EAST500     500.00    2  1;113.8743;18.6952;;0.0000;10;1200
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3004     WEST        500.00    5  1;20.9069;-118.0849;;0.0000;0;
153     MID230      230.00;1;1;0.9743;224.0868;-11.8372;0.0000;0.0000;220.8161;100.0000;0.0000;-0.0000;;0.0000;0.0000;;0.0000;0;
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;152     MID500      500.00    1  1;-757.0019;-309.8928;1.000UN;0.0000;33;2500
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;154     DOWNTN      230.00    1  1;293.9241;117.6171;;0.0000;108;300
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;154     DOWNTN      230.00    1  2;244.9368;94.8501;;0.0000;90;300
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3006     UPTOWN      230.00    5  1;-2.6753;-2.5736;;0.0000;0;
154     DOWNTN      230.00;1;1;0.9119;209.7435;-19.9997;0.0000;0.0000;1104.0810;800.0000;0.0000;-249.4840;;0.0000;0.0000;;0.0000;0;
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;153     MID230      230.00    1  1;-288.5849;-78.4684;;0.0000;109;300
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;153     MID230      230.00    1  2;-240.4874;-68.1624;;0.0000;91;300
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;203     EAST230     230.00    2  1;-130.2412;-60.3356;;0.0000;79;200
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;205     SUB230      230.00    2  1;-286.8364;-270.6444;;0.0000;72;600
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3008     CATDOG      230.00    5  1;-157.9097;-72.8977;;0.0000;48;400
201     HYDRO       500.00;2;2;1.0400;520.0001;-2.7819;0.0000;0.0000;0.0000;0.0000;0.0000;-324.4800;;0.0000;0.0000;;0.0000;0;
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;151     NUCPANT     500.00    1  1;-590.4786;214.8788;;0.0000;50;1200
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;202     EAST500     500.00    2  1;549.4008;79.0907;;0.0000;44;1200
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;205     SUB230      230.00    2  &1;638.6914;137.3796;;0.0000;52;1200
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;211     HYDRO_G     20.000    2  1;-597.6324;-106.8112;1.000LK;0.0000;76;800
202     EAST500     500.00;2;2;0.9928;496.3847;-10.2170;0.0000;0.0000;0.0000;0.0000;0.0000;-0.0000;;0.0000;0.0000;;0.0000;0;
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;152     MID500      500.00    1  1;-113.7355;-111.2993;;0.0000;13;1200
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;201     HYDRO       500.00    2  1;-543.1710;-207.9381;;0.0000;49;1200
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;203     EAST230     230.00    2  1;656.8990;319.2372;1.000LK;0.0000;91;800
203     EAST230     230.00;2;2;0.9439;217.0893;-16.6796;0.0000;0.0000;331.2242;150.0000;0.0000;-44.5442;;0.0000;0.0000;;0.0000;0;
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;154     DOWNTN      230.00    1  1;131.2089;61.4001;;0.0000;77;200
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;202     EAST500     500.00    2  1;-654.7341;-231.2878;1.000UN;0.0000;87;800
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;205     SUB230      230.00    2  1;96.1520;32.2166;;0.0000;54;200
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;205     SUB230      230.00    2  2;96.1520;32.2166;;0.0000;54;200
205     SUB230      230.00;2;2;0.9228;212.2352;-19.4093;0.0000;0.0000;1324.8970;700.0000;0.0000;-255.4467;;0.0000;0.0000;;0.0000;0;
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;154     DOWNTN      230.00    1  1;287.4456;269.2174;;0.0000;71;600
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;201     HYDRO       500.00    2  &1;-623.8204;-179.6206;1.000UN;0.0000;81;800
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;203     EAST230     230.00    2  1;-95.5613;-33.8695;;0.0000;55;200
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;203     EAST230     230.00    2  2;-95.5613;-33.8695;;0.0000;55;200
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;206     URBGEN      18.000    2  1;-797.3759;-466.4045;1.000LK;0.0000;103;900
206     URBGEN      18.000;2;2;0.9989;17.9801;-12.8635;800.0001;600.0000;0.0000;0.0000;0.0000;-0.0000;;0.0000;0.0000;;0.0000;0;
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;205     SUB230      230.00    2  1;799.9815;599.9946;1.000UN;0.0000;111;900
211     HYDRO_G     20.000;2;2;1.0727;21.4548;3.7157;600.0001;179.2821;0.0000;0.0000;0.0000;-0.0000;;0.0000;0.0000;;0.0000;0;
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;201     HYDRO       500.00    2  1;600.0178;179.2242;1.000UN;0.0000;78;800
3001     MINE        230.00;5;5;1.0219;235.0471;-3.2583;0.0000;0.0000;0.0000;0.0000;0.0000;-0.0000;;0.0000;0.0000;;0.0000;0;
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3002     E. MINE     500.00    5  1;174.7937;26.5632;1.000LK;0.0000;22;800
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3003     S. MINE     230.00    5  1;432.3896;128.6344;;0.0000;0;
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3011     MINE_G      13.800    5  1;-607.1849;-155.1976;1.000LK;0.0000;48;1300
3002     E. MINE     500.00;5;5;1.0179;508.9267;-4.6983;0.0000;0.0000;0.0000;0.0000;0.0000;-0.0000;;0.0000;0.0000;;0.0000;0;
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3001     MINE        230.00    5  1;-174.7039;-22.0736;1.000UN;0.0000;22;800
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3004     WEST        500.00    5  1;174.7038;22.0737;;0.0000;0;
3003     S. MINE     230.00;5;5;1.0124;232.8613;-5.1742;0.0000;0.0000;0.0000;0.0000;0.0000;-0.0000;;0.0000;0.0000;;0.0000;0;
