;Bus Name;Area Number;Zone Number;Volt (PU);Volt (KV);Angle (Deg);Gen MW;Gen MVAR;Load MW;Load MVAR;Shunt MW;Shunt MVAR;To Bus Name;MW;MVAR;Transformer Ratio;Transformer Angle (Deg);Percent;Rating
;101     NUC-A       21.600;1;77;1.0200;22.0320;22.6950;749.3604;79.1120;0.0000;0.0000;0.0000;-0.0000;;0.0000;0.0000;;0.0000;0;
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;151     NUCPANT     500.00    1  1;749.3608;79.1120;1.000UN;0.0000;60;1250
;102     NUC-B       21.600;1;77;1.0200;22.0320;22.6950;749.3604;79.1120;0.0000;0.0000;0.0000;-0.0000;;0.0000;0.0000;;0.0000;0;
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;151     NUCPANT     500.00    1  1;749.3608;79.1120;1.000UN;0.0000;60;1250
;151     NUCPANT     500.00;1;1;1.0122;506.0841;17.0431;0.0000;0.0000;0.0000;0.0000;0.0000;614.6907;;0.0000;0.0000;;0.0000;0;
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;101     NUC-A       21.600    1  1;-747.7235;-4.8897;1.000LK;0.0000;60;1250
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;102     NUC-B       21.600    1  1;-747.7235;-4.8897;1.000LK;0.0000;60;1250
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;152     MID500      500.00    1  1;474.8294;-170.7861;;0.0000;42;1200
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;152     MID500      500.00    1  2;474.8294;-170.7861;;0.0000;42;1200
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;201     HYDRO       500.00    2  1;545.7913;-263.3388;;0.0000;50;1200
;152     MID500      500.00;1;1;1.0192;509.5847;4.8315;0.0000;0.0000;0.0000;0.0000;0.0000;-0.0000;;0.0000;0.0000;;0.0000;0;
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;151     NUCPANT     500.00    1  1;-469.1056;-89.0055;;0.0000;39;1200
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;151     NUCPANT     500.00    1  2;-469.1056;-89.0055;;0.0000;39;1200
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;153     MID230      230.00    1  1;726.3265;287.9770;1.009LK;0.0000;31;2500
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;202     EAST500     500.00    2  1;-10.7243;32.5898;;0.0000;3;1200
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3004     WEST        500.00    5  1;222.6131;-142.5557;;0.0000;0;
;153     MID230      230.00;1;1;0.9961;229.1024;2.7622;0.0000;0.0000;184.4736;100.0000;0.0000;-0.0000;;0.0000;0.0000;;0.0000;0;
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;152     MID500      500.00    1  1;-726.3265;-258.0364;1.000UN;0.0000;31;2500
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;154     DOWNTN      230.00    1  1;220.4009;98.7722;;0.0000;81;300
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;154     DOWNTN      230.00    1  2;183.6674;79.0028;;0.0000;67;300
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3006     UPTOWN      230.00    5  1;137.7842;-19.7391;;0.0000;0;
;154     DOWNTN      230.00;1;1;0.9429;216.8682;-2.9813;0.0000;0.0000;922.3682;800.0000;0.0000;-252.6830;;0.0000;0.0000;;0.0000;0;
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;153     MID230      230.00    1  1;-217.4107;-81.2672;;0.0000;82;300
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;153     MID230      230.00    1  2;-181.1756;-70.6863;;0.0000;69;300
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;203     EAST230     230.00    2  1;-116.4770;-53.7173;;0.0000;68;200
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;205     SUB230      230.00    2  1;-404.5810;-242.1279;;0.0000;83;600
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3008     CATDOG      230.00    5  1;-2.7342;-99.5233;;0.0000;26;400
;201     HYDRO       500.00;2;2;1.0400;520.0001;12.4723;0.0000;0.0000;0.0000;0.0000;0.0000;-307.4021;;0.0000;0.0000;;0.0000;0;
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;151     NUCPANT     500.00    1  1;-542.4859;186.5557;;0.0000;46;1200
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;202     EAST500     500.00    2  1;561.2349;3.1000;;0.0000;45;1200
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;205     SUB230      230.00    2  &1;578.4064;53.5466;;0.0000;47;1200
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;211     HYDRO_G     20.000    2  1;-597.1404;64.1636;1.000LK;0.0000;75;800
;202     EAST500     500.00;2;2;1.0112;505.6081;4.9276;0.0000;0.0000;0.0000;0.0000;0.0000;-0.0000;;0.0000;0.0000;;0.0000;0;
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;152     MID500      500.00    1  1;10.7769;-129.8425;;0.0000;11;1200
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;201     HYDRO       500.00    2  1;-555.1816;-137.8493;;0.0000;47;1200
