,Bus Name,Area Number,Zone Number,Volt (PU),Volt (KV),Angle (Deg),Gen MW,Gen MVAR,Load MW,Load MVAR,Shunt MW,Shunt MVAR,To Bus Name,MW,MVAR,Transformer Ratio,Transformer Angle (Deg),Percent,Rating,Load Flow Case
18,153     MID230      230.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,154     DOWNTN      230.00    1  1,321.2546,133.3966,,0.0000,122,300,"Load-MW = 3749.3093, Gen-MW = 3843.7, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
19,153     MID230      230.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,154     DOWNTN      230.00    1  2,267.7122,108.1368,,0.0000,101,300,"Load-MW = 3749.3093, Gen-MW = 3843.7, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
20,153     MID230      230.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3006     UPTOWN      230.00    5  1,-57.0185,12.5289,,0.0000,0,,"Load-MW = 3749.3093, Gen-MW = 3843.7, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
21,154     DOWNTN      230.00,1,1,0.8829,203.0588,-27.5426,0.0000,0.0000,1171.6580,800.0000,0.0000,-233.8349,,0.0000,0.0000,,0.0000,0,,"Load-MW = 3749.3093, Gen-MW = 3843.7, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
22,154     DOWNTN      230.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,153     MID230      230.00    1  1,-314.5248,-81.2658,,0.0000,123,300,"Load-MW = 3749.3093, Gen-MW = 3843.7, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
23,154     DOWNTN      230.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,153     MID230      230.00    1  2,-262.1040,-70.3197,,0.0000,102,300,"Load-MW = 3749.3093, Gen-MW = 3843.7, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
24,154     DOWNTN      230.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,203     EAST230     230.00    2  1,-135.6617,-67.0768,,0.0000,86,200,"Load-MW = 3749.3093, Gen-MW = 3843.7, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
25,154     DOWNTN      230.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,205     SUB230      230.00    2  1,-245.3936,-290.3240,,0.0000,72,600,"Load-MW = 3749.3093, Gen-MW = 3843.7, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
26,154     DOWNTN      230.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3008     CATDOG      230.00    5  1,-213.9485,-57.1708,,0.0000,63,400,"Load-MW = 3749.3093, Gen-MW = 3843.7, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
27,201     HYDRO       500.00,2,2,1.0400,520.0001,-9.2620,0.0000,0.0000,0.0000,0.0000,0.0000,-324.4800,,0.0000,0.0000,,0.0000,0,,"Load-MW = 3749.3093, Gen-MW = 3843.7, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
28,201     HYDRO       500.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,151     NUCPANT     500.00    1  1,-613.1463,240.2270,,0.0000,53,1200,"Load-MW = 3749.3093, Gen-MW = 3843.7, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
29,201     HYDRO       500.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,202     EAST500     500.00    2  1,545.7295,151.3338,,0.0000,45,1200,"Load-MW = 3749.3093, Gen-MW = 3843.7, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
30,201     HYDRO       500.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,205     SUB230      230.00    2  &1,664.6086,210.7559,,0.0000,56,1200,"Load-MW = 3749.3093, Gen-MW = 3843.7, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
31,201     HYDRO       500.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,211     HYDRO_G     20.000    2  1,-597.2087,-277.7723,1.000LK,0.0000,82,800,"Load-MW = 3749.3093, Gen-MW = 3843.7, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
32,202     EAST500     500.00,2,2,0.9753,487.6627,-16.6962,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,,0.0000,0.0000,,0.0000,0,,"Load-MW = 3749.3093, Gen-MW = 3843.7, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
33,202     EAST500     500.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,152     MID500      500.00    1  1,-160.8876,-91.0141,,0.0000,16,1200,"Load-MW = 3749.3093, Gen-MW = 3843.7, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
34,202     EAST500     500.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,201     HYDRO       500.00    2  1,-538.9773,-270.2175,,0.0000,52,1200,"Load-MW = 3749.3093, Gen-MW = 3843.7, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
35,202     EAST500     500.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,203     EAST230     230.00    2  1,699.8563,361.2313,1.000LK,0.0000,98,800,"Load-MW = 3749.3093, Gen-MW = 3843.7, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
36,203     EAST230     230.00,2,2,0.9195,211.4862,-23.8885,0.0000,0.0000,351.4975,150.0000,0.0000,-42.2745,,0.0000,0.0000,,0.0000,0,,"Load-MW = 3749.3093, Gen-MW = 3843.7, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
37,203     EAST230     230.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,154     DOWNTN      230.00    1  1,136.8110,70.4453,,0.0000,84,200,"Load-MW = 3749.3093, Gen-MW = 3843.7, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
38,203     EAST230     230.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,202     EAST500     500.00    2  1,-697.2480,-255.2701,1.000UN,0.0000,93,800,"Load-MW = 3749.3093, Gen-MW = 3843.7, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
39,203     EAST230     230.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,205     SUB230      230.00    2  1,104.4714,38.5503,,0.0000,61,200,"Load-MW = 3749.3093, Gen-MW = 3843.7, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
40,203     EAST230     230.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,205     SUB230      230.00    2  2,104.4714,38.5503,,0.0000,61,200,"Load-MW = 3749.3093, Gen-MW = 3843.7, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
41,205     SUB230      230.00,2,2,0.8946,205.7666,-27.0185,0.0000,0.0000,1405.9900,700.0000,0.0000,-240.1128,,0.0000,0.0000,,0.0000,0,,"Load-MW = 3749.3093, Gen-MW = 3843.7, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
42,205     SUB230      230.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,154     DOWNTN      230.00    1  1,245.9969,289.3019,,0.0000,71,600,"Load-MW = 3749.3093, Gen-MW = 3843.7, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
43,205     SUB230      230.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,201     HYDRO       500.00    2  &1,-647.2839,-213.3584,1.000UN,0.0000,85,800,"Load-MW = 3749.3093, Gen-MW = 3843.7, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
44,205     SUB230      230.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,203     EAST230     230.00    2  1,-103.7220,-38.3890,,0.0000,62,200,"Load-MW = 3749.3093, Gen-MW = 3843.7, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
45,205     SUB230      230.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,203     EAST230     230.00    2  2,-103.7220,-38.3890,,0.0000,62,200,"Load-MW = 3749.3093, Gen-MW = 3843.7, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
