,Bus Name,Area Number,Zone Number,Volt (PU),Volt (KV),Angle (Deg),Gen MW,Gen MVAR,Load MW,Load MVAR,Shunt MW,Shunt MVAR,To Bus Name,MW,MVAR,Transformer Ratio,Transformer Angle (Deg),Percent,Rating,Load Flow Case
0,101     NUC-A       21.600,1,77,1.0200,22.0320,9.7527,750.0001,96.2716,0.0000,0.0000,0.0000,-0.0000,,0.0000,0.0000,,0.0000,0,,"Load-MW = 3463.8, Gen-MW = 3534.1, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
1,101     NUC-A       21.600,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,151     NUCPANT     500.00    1  1,749.9992,96.2716,1.000UN,0.0000,60,1250,"Load-MW = 3463.8, Gen-MW = 3534.1, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
2,102     NUC-B       21.600,1,77,1.0200,22.0320,9.7527,750.0001,96.2716,0.0000,0.0000,0.0000,-0.0000,,0.0000,0.0000,,0.0000,0,,"Load-MW = 3463.8, Gen-MW = 3534.1, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
3,102     NUC-B       21.600,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,151     NUCPANT     500.00    1  1,749.9992,96.2716,1.000UN,0.0000,60,1250,"Load-MW = 3463.8, Gen-MW = 3534.1, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
4,151     NUCPANT     500.00,1,1,1.0099,504.9465,4.0861,0.0000,0.0000,0.0000,0.0000,0.0000,611.9302,,0.0000,0.0000,,0.0000,0,,"Load-MW = 3463.8, Gen-MW = 3534.1, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
5,151     NUCPANT     500.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,101     NUC-A       21.600    1  1,-748.3505,-21.5308,1.000LK,0.0000,60,1250,"Load-MW = 3463.8, Gen-MW = 3534.1, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
6,151     NUCPANT     500.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,102     NUC-B       21.600    1  1,-748.3505,-21.5308,1.000LK,0.0000,60,1250,"Load-MW = 3463.8, Gen-MW = 3534.1, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
7,151     NUCPANT     500.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,152     MID500      500.00    1  1,454.4436,-145.8671,,0.0000,39,1200,"Load-MW = 3463.8, Gen-MW = 3534.1, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
8,151     NUCPANT     500.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,152     MID500      500.00    1  2,454.4436,-145.8671,,0.0000,39,1200,"Load-MW = 3463.8, Gen-MW = 3534.1, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
9,151     NUCPANT     500.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,201     HYDRO       500.00    2  1,587.8063,-277.1348,,0.0000,54,1200,"Load-MW = 3463.8, Gen-MW = 3534.1, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
10,152     MID500      500.00,1,1,1.0047,502.3581,-7.7545,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,,0.0000,0.0000,,0.0000,0,,"Load-MW = 3463.8, Gen-MW = 3534.1, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
11,152     MID500      500.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,151     NUCPANT     500.00    1  1,-449.1517,-115.6408,,0.0000,38,1200,"Load-MW = 3463.8, Gen-MW = 3534.1, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
12,152     MID500      500.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,151     NUCPANT     500.00    1  2,-449.1517,-115.6408,,0.0000,38,1200,"Load-MW = 3463.8, Gen-MW = 3534.1, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
