;Bus Name;Area Number;Zone Number;Volt (PU);Volt (KV);Angle (Deg);Gen MW;Gen MVAR;Load MW;Load MVAR;Shunt MW;Shunt MVAR;To Bus Name;MW;MVAR;Transformer Ratio;Transformer Angle (Deg);Percent;Rating
;101     NUC-A       21.600;1;77;1.0200;22.0320;18.1199;749.3604;83.9521;0.0000;0.0000;0.0000;-0.0000;;0.0000;0.0000;;0.0000;0;
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;151     NUCPANT     500.00    1  1;749.3608;83.9521;1.000UN;0.0000;60;1250
;102     NUC-B       21.600;1;77;1.0200;22.0320;18.1199;749.3604;83.9521;0.0000;0.0000;0.0000;-0.0000;;0.0000;0.0000;;0.0000;0;
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;151     NUCPANT     500.00    1  1;749.3608;83.9521;1.000UN;0.0000;60;1250
;151     NUCPANT     500.00;1;1;1.0115;505.7623;12.4652;0.0000;0.0000;0.0000;0.0000;0.0000;613.9092;;0.0000;0.0000;;0.0000;0;
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;101     NUC-A       21.600    1  1;-747.7213;-9.6267;1.000LK;0.0000;60;1250
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;102     NUC-B       21.600    1  1;-747.7213;-9.6267;1.000LK;0.0000;60;1250
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;152     MID500      500.00    1  1;467.6645;-163.7080;;0.0000;41;1200
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;152     MID500      500.00    1  2;467.6645;-163.7080;;0.0000;41;1200
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;201     HYDRO       500.00    2  1;560.1170;-267.2397;;0.0000;51;1200
;152     MID500      500.00;1;1;1.0150;507.4856;0.3927;0.0000;0.0000;0.0000;0.0000;0.0000;-0.0000;;0.0000;0.0000;;0.0000;0;
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;151     NUCPANT     500.00    1  1;-462.1009;-97.1948;;0.0000;39;1200
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;151     NUCPANT     500.00    1  2;-462.1009;-97.1948;;0.0000;39;1200
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;153     MID230      230.00    1  1;736.3515;302.9878;1.009LK;0.0000;32;2500
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;202     EAST500     500.00    2  1;28.5664;31.8844;;0.0000;4;1200
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3004     WEST        500.00    5  1;159.2887;-140.4824;;0.0000;0;
