;Bus Name;Area Number;Zone Number;Volt (PU);Volt (KV);Angle (Deg);Gen MW;Gen MVAR;Load MW;Load MVAR;Shunt MW;Shunt MVAR;To Bus Name;MW;MVAR;Transformer Ratio;Transformer Angle (Deg);Percent;Rating
;101     NUC-A       21.600;1;77;1.0200;22.0320;21.2068;749.3604;80.3340;0.0000;0.0000;0.0000;-0.0000;;0.0000;0.0000;;0.0000;0;
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;151     NUCPANT     500.00    1  1;749.3606;80.3340;1.000UN;0.0000;60;1250
;102     NUC-B       21.600;1;77;1.0200;22.0320;21.2068;749.3604;80.3340;0.0000;0.0000;0.0000;-0.0000;;0.0000;0.0000;;0.0000;0;
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;151     NUCPANT     500.00    1  1;749.3606;80.3340;1.000UN;0.0000;60;1250
;151     NUCPANT     500.00;1;1;1.0120;506.0028;15.5542;0.0000;0.0000;0.0000;0.0000;0.0000;614.4933;;0.0000;0.0000;;0.0000;0;
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;101     NUC-A       21.600    1  1;-747.7228;-6.0863;1.000LK;0.0000;60;1250
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;102     NUC-B       21.600    1  1;-747.7228;-6.0863;1.000LK;0.0000;60;1250
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;152     MID500      500.00    1  1;472.5415;-169.0034;;0.0000;41;1200
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;152     MID500      500.00    1  2;472.5415;-169.0034;;0.0000;41;1200
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;201     HYDRO       500.00    2  1;550.3644;-264.3140;;0.0000;50;1200
;152     MID500      500.00;1;1;1.0181;509.0387;3.3898;0.0000;0.0000;0.0000;0.0000;0.0000;-0.0000;;0.0000;0.0000;;0.0000;0;
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;151     NUCPANT     500.00    1  1;-466.8701;-91.2679;;0.0000;39;1200
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;151     NUCPANT     500.00    1  2;-466.8701;-91.2679;;0.0000;39;1200
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;153     MID230      230.00    1  1;729.6357;292.2506;1.009LK;0.0000;31;2500
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;202     EAST500     500.00    2  1;2.1021;32.7170;;0.0000;3;1200
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3004     WEST        500.00    5  1;202.0047;-142.4318;;0.0000;0;
;153     MID230      230.00;1;1;0.9948;228.8033;1.3061;0.0000;0.0000;188.2384;100.0000;0.0000;-0.0000;;0.0000;0.0000;;0.0000;0;
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;152     MID500      500.00    1  1;-729.6357;-261.8870;1.000UN;0.0000;31;2500
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;154     DOWNTN      230.00    1  1;228.0385;100.7290;;0.0000;84;300
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;154     DOWNTN      230.00    1  2;190.0321;80.6420;;0.0000;69;300
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3006     UPTOWN      230.00    5  1;123.3264;-19.4843;;0.0000;0;
;154     DOWNTN      230.00;1;1;0.9406;216.3459;-4.6645;0.0000;0.0000;941.1920;800.0000;0.0000;-251.4674;;0.0000;0.0000;;0.0000;0;
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;153     MID230      230.00    1  1;-224.8470;-81.3767;;0.0000;85;300
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;153     MID230      230.00    1  2;-187.3725;-70.7632;;0.0000;71;300
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;203     EAST230     230.00    2  1;-117.8438;-54.2582;;0.0000;69;200
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;205     SUB230      230.00    2  1;-391.9464;-243.4097;;0.0000;82;600
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3008     CATDOG      230.00    5  1;-19.1885;-98.7275;;0.0000;27;400
;201     HYDRO       500.00;2;2;1.0400;520.0001;10.9447;0.0000;0.0000;0.0000;0.0000;0.0000;-307.4021;;0.0000;0.0000;;0.0000;0;
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;151     NUCPANT     500.00    1  1;-547.0050;188.3597;;0.0000;46;1200
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;202     EAST500     500.00    2  1;559.9076;8.0339;;0.0000;45;1200
