,Bus Name,Area Number,Zone Number,Volt (PU),Volt (KV),Angle (Deg),Gen MW,Gen MVAR,Load MW,Load MVAR,Shunt MW,Shunt MVAR,To Bus Name,MW,MVAR,Transformer Ratio,Transformer Angle (Deg),Percent,Rating,Load Flow Case
0,101     NUC-A       21.600,1,77,1.0200,22.0320,11.5447,750.0000,91.5629,0.0000,0.0000,0.0000,-0.0000,,0.0000,0.0000,,0.0000,0,,"Load-MW = 3395.9, Gen-MW = 3462.4, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
1,101     NUC-A       21.600,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,151     NUCPANT     500.00    1  1,749.9993,91.5629,1.000UN,0.0000,60,1250,"Load-MW = 3395.9, Gen-MW = 3462.4, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
2,102     NUC-B       21.600,1,77,1.0200,22.0320,11.5447,750.0000,91.5629,0.0000,0.0000,0.0000,-0.0000,,0.0000,0.0000,,0.0000,0,,"Load-MW = 3395.9, Gen-MW = 3462.4, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
3,102     NUC-B       21.600,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,151     NUCPANT     500.00    1  1,749.9993,91.5629,1.000UN,0.0000,60,1250,"Load-MW = 3395.9, Gen-MW = 3462.4, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
4,151     NUCPANT     500.00,1,1,1.0105,505.2596,5.8808,0.0000,0.0000,0.0000,0.0000,0.0000,612.6893,,0.0000,0.0000,,0.0000,0,,"Load-MW = 3395.9, Gen-MW = 3462.4, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
5,151     NUCPANT     500.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,101     NUC-A       21.600    1  1,-748.3532,-16.9377,1.000LK,0.0000,60,1250,"Load-MW = 3395.9, Gen-MW = 3462.4, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
6,151     NUCPANT     500.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,102     NUC-B       21.600    1  1,-748.3532,-16.9377,1.000LK,0.0000,60,1250,"Load-MW = 3395.9, Gen-MW = 3462.4, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
7,151     NUCPANT     500.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,152     MID500      500.00    1  1,457.5580,-152.7691,,0.0000,40,1200,"Load-MW = 3395.9, Gen-MW = 3462.4, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
8,151     NUCPANT     500.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,152     MID500      500.00    1  2,457.5580,-152.7691,,0.0000,40,1200,"Load-MW = 3395.9, Gen-MW = 3462.4, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
9,151     NUCPANT     500.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,201     HYDRO       500.00    2  1,581.5850,-273.2759,,0.0000,53,1200,"Load-MW = 3395.9, Gen-MW = 3462.4, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
