,Bus Name,Area Number,Zone Number,Volt (PU),Volt (KV),Angle (Deg),Gen MW,Gen MVAR,Load MW,Load MVAR,Shunt MW,Shunt MVAR,To Bus Name,MW,MVAR,Transformer Ratio,Transformer Angle (Deg),Percent,Rating,Load Flow Case
0,101     NUC-A       21.600,1,77,1.0200,22.0320,5.9191,750.0000,108.3137,0.0000,0.0000,0.0000,-0.0000,,0.0000,0.0000,,0.0000,0,,"Load-MW = 3603.7, Gen-MW = 3684.0, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
1,101     NUC-A       21.600,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,151     NUCPANT     500.00    1  1,749.9995,108.3137,1.000UN,0.0000,61,1250,"Load-MW = 3603.7, Gen-MW = 3684.0, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
2,102     NUC-B       21.600,1,77,1.0200,22.0320,5.9191,750.0000,108.3137,0.0000,0.0000,0.0000,-0.0000,,0.0000,0.0000,,0.0000,0,,"Load-MW = 3603.7, Gen-MW = 3684.0, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
3,102     NUC-B       21.600,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,151     NUCPANT     500.00    1  1,749.9995,108.3137,1.000UN,0.0000,61,1250,"Load-MW = 3603.7, Gen-MW = 3684.0, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
4,151     NUCPANT     500.00,1,1,1.0083,504.1459,0.2455,0.0000,0.0000,0.0000,0.0000,0.0000,609.9913,,0.0000,0.0000,,0.0000,0,,"Load-MW = 3603.7, Gen-MW = 3684.0, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
5,151     NUCPANT     500.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,101     NUC-A       21.600    1  1,-748.3437,-33.2508,1.000LK,0.0000,60,1250,"Load-MW = 3603.7, Gen-MW = 3684.0, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
6,151     NUCPANT     500.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,102     NUC-B       21.600    1  1,-748.3437,-33.2508,1.000LK,0.0000,60,1250,"Load-MW = 3603.7, Gen-MW = 3684.0, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
7,151     NUCPANT     500.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,152     MID500      500.00    1  1,447.5877,-128.2461,,0.0000,38,1200,"Load-MW = 3603.7, Gen-MW = 3684.0, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
8,151     NUCPANT     500.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,152     MID500      500.00    1  2,447.5877,-128.2461,,0.0000,38,1200,"Load-MW = 3603.7, Gen-MW = 3684.0, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
9,151     NUCPANT     500.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,201     HYDRO       500.00    2  1,601.5081,-286.9975,,0.0000,55,1200,"Load-MW = 3603.7, Gen-MW = 3684.0, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
10,152     MID500      500.00,1,1,0.9950,497.5007,-11.5217,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,,0.0000,0.0000,,0.0000,0,,"Load-MW = 3603.7, Gen-MW = 3684.0, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
11,152     MID500      500.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,151     NUCPANT     500.00    1  1,-442.4012,-131.1621,,0.0000,39,1200,"Load-MW = 3603.7, Gen-MW = 3684.0, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
12,152     MID500      500.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,151     NUCPANT     500.00    1  2,-442.4012,-131.1621,,0.0000,39,1200,"Load-MW = 3603.7, Gen-MW = 3684.0, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
13,152     MID500      500.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,153     MID230      230.00    1  1,760.2272,358.9685,1.009LK,0.0000,34,2500,"Load-MW = 3603.7, Gen-MW = 3684.0, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
14,152     MID500      500.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,202     EAST500     500.00    2  1,129.1965,14.3650,,0.0000,11,1200,"Load-MW = 3603.7, Gen-MW = 3684.0, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
