,Bus Name,Area Number,Zone Number,Volt (PU),Volt (KV),Angle (Deg),Gen MW,Gen MVAR,Load MW,Load MVAR,Shunt MW,Shunt MVAR,To Bus Name,MW,MVAR,Transformer Ratio,Transformer Angle (Deg),Percent,Rating,Load Flow Case
20,153     MID230      230.00,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3006     UPTOWN      230.00    5  1,78.7445,-15.5919,,0.0,0,,"Load-MW = 3200, Gen-MW = 3258.64, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
21,154     DOWNTN      230.00,1,1,0.9392,216.0117,-9.8824,0.0,0.0,1000.0,800.0,0.0,-264.6183,,0.0,0.0,,0.0,0,,"Load-MW = 3200, Gen-MW = 3258.64, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
22,154     DOWNTN      230.00,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153     MID230      230.00    1  1,-247.9702,-76.2166,,0.0,92,300.0,"Load-MW = 3200, Gen-MW = 3258.64, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
23,154     DOWNTN      230.00,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153     MID230      230.00    1  2,-206.6418,-66.4541,,0.0,77,300.0,"Load-MW = 3200, Gen-MW = 3258.64, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
24,154     DOWNTN      230.00,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203     EAST230     230.00    2  1,-122.3464,-53.6161,,0.0,71,200.0,"Load-MW = 3200, Gen-MW = 3258.64, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
25,154     DOWNTN      230.00,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205     SUB230      230.00    2  1,-354.1113,-250.8575,,0.0,77,600.0,"Load-MW = 3200, Gen-MW = 3258.64, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
26,154     DOWNTN      230.00,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3008     CATDOG      230.00    5  1,-68.9352,-88.2395,,0.0,30,400.0,"Load-MW = 3200, Gen-MW = 3258.64, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
27,201     HYDRO       500.00,2,2,1.04,520.0,6.1595,0.0,0.0,0.0,0.0,0.0,-324.48,,0.0,0.0,,0.0,0,,"Load-MW = 3200, Gen-MW = 3258.64, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
28,201     HYDRO       500.00,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151     NUCPANT     500.00    1  1,-561.3012,191.3515,,0.0,48,1200.0,"Load-MW = 3200, Gen-MW = 3258.64, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
29,201     HYDRO       500.00,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202     EAST500     500.00    2  1,555.8046,12.9184,,0.0,45,1200.0,"Load-MW = 3200, Gen-MW = 3258.64, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
30,201     HYDRO       500.00,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205     SUB230      230.00    2  &1,603.1671,66.7787,,0.0,49,1200.0,"Load-MW = 3200, Gen-MW = 3258.64, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
31,201     HYDRO       500.00,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211     HYDRO_G     20.000    2  1,-597.6642,53.416,1.000LK,0.0,75,800.0,"Load-MW = 3200, Gen-MW = 3258.64, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
32,202     EAST500     500.00,2,2,1.0088,504.3923,-1.3179,0.0,0.0,0.0,0.0,0.0,-0.0,,0.0,0.0,,0.0,0,,"Load-MW = 3200, Gen-MW = 3258.64, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
33,202     EAST500     500.00,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152     MID500      500.00    1  1,-42.4104,-127.6056,,0.0,11,1200.0,"Load-MW = 3200, Gen-MW = 3258.64, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
34,202     EAST500     500.00,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201     HYDRO       500.00    2  1,-549.8212,-148.0513,,0.0,47,1200.0,"Load-MW = 3200, Gen-MW = 3258.64, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
35,202     EAST500     500.00,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203     EAST230     230.00    2  1,592.2335,275.657,1.000LK,0.0,82,800.0,"Load-MW = 3200, Gen-MW = 3258.64, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
36,203     EAST230     230.00,2,2,0.9666,222.328,-6.9167,0.0,0.0,300.0,150.0,0.0,-46.72,,0.0,0.0,,0.0,0,,"Load-MW = 3200, Gen-MW = 3258.64, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
37,203     EAST230     230.00,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154     DOWNTN      230.00    1  1,123.135,52.4198,,0.0,69,200.0,"Load-MW = 3200, Gen-MW = 3258.64, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
38,203     EAST230     230.00,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202     EAST500     500.00    2  1,-590.5562,-207.5162,1.000UN,0.0,78,800.0,"Load-MW = 3200, Gen-MW = 3258.64, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
39,203     EAST230     230.00,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205     SUB230      230.00    2  1,83.7102,25.908,,0.0,45,200.0,"Load-MW = 3200, Gen-MW = 3258.64, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
40,203     EAST230     230.00,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205     SUB230      230.00    2  2,83.7102,25.908,,0.0,45,200.0,"Load-MW = 3200, Gen-MW = 3258.64, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
41,205     SUB230      230.00,2,2,0.9493,218.3277,-9.1769,0.0,0.0,1200.0,700.0,0.0,-270.3232,,0.0,0.0,,0.0,0,,"Load-MW = 3200, Gen-MW = 3258.64, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
42,205     SUB230      230.00,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154     DOWNTN      230.00    1  1,354.8084,249.8685,,0.0,76,600.0,"Load-MW = 3200, Gen-MW = 3258.64, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
43,205     SUB230      230.00,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201     HYDRO       500.00    2  &1,-590.7128,-147.8085,1.000UN,0.0,76,800.0,"Load-MW = 3200, Gen-MW = 3258.64, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
44,205     SUB230      230.00,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203     EAST230     230.00    2  1,-83.2882,-29.4519,,0.0,47,200.0,"Load-MW = 3200, Gen-MW = 3258.64, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
45,205     SUB230      230.00,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203     EAST230     230.00    2  2,-83.2882,-29.4519,,0.0,47,200.0,"Load-MW = 3200, Gen-MW = 3258.64, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
46,205     SUB230      230.00,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206     URBGEN      18.000    2  1,-797.5245,-472.8347,1.000LK,0.0,103,900.0,"Load-MW = 3200, Gen-MW = 3258.64, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
47,206     URBGEN      18.000,2,2,1.0238,18.4291,-2.9698,800.0,600.0,0.0,0.0,0.0,-0.0,,0.0,0.0,,0.0,0,,"Load-MW = 3200, Gen-MW = 3258.64, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
48,206     URBGEN      18.000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205     SUB230      230.00    2  1,800.0048,600.0015,1.000UN,0.0,111,900.0,"Load-MW = 3200, Gen-MW = 3258.64, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
49,211     HYDRO_G     20.000,2,2,1.0403,20.8069,12.9206,600.0,17.3082,0.0,0.0,0.0,-0.0,,0.0,0.0,,0.0,0,,"Load-MW = 3200, Gen-MW = 3258.64, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
50,211     HYDRO_G     20.000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201     HYDRO       500.00    2  1,599.9944,17.3235,1.000UN,0.0,75,800.0,"Load-MW = 3200, Gen-MW = 3258.64, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
51,3001     MINE        230.00,5,5,1.0298,236.8623,-1.3727,0.0,0.0,0.0,0.0,0.0,-0.0,,0.0,0.0,,0.0,0,,"Load-MW = 3200, Gen-MW = 3258.64, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
52,3001     MINE        230.00,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3002     E. MINE     500.00    5  1,55.9844,11.9745,1.000LK,0.0,7,800.0,"Load-MW = 3200, Gen-MW = 3258.64, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
